claim_id,claim_date,sale_id,repair_status
CL-4169,10/08/2024,LL-8252,In Progress
CL-70146,18/04/2024,GL-7077,Rejected
CL-4697,11/09/2024,CI-865526,Pending
CL-26318,10/04/2024,XT-130299,Pending
CL-66268,23/07/2024,JJ-011490,Rejected
CL-43152,18/05/2024,KH-931403,Rejected
CL-37655,06/06/2024,UQ-37700,Pending
CL-42197,06/08/2024,EX-35637,Pending
CL-30488,17/01/2024,FP-1835,Completed
CL-1741,20/10/2024,DR-826881,Pending
CL-22604,15/01/2024,PA-12281,Completed
CL-98376,10/09/2024,DS-543121,Pending
CL-33280,11/01/2024,RR-84563,Pending
CL-69381,29/08/2024,HP-029946,Completed
CL-56886,05/03/2024,DR-10531,In Progress
CL-99647,07/06/2024,QP-366566,Completed
CL-40002,07/02/2024,BV-3236,Rejected
CL-7618,12/02/2024,IN-11031,Pending
CL-9401,13/03/2024,PH-97730,Pending
CL-50338,12/10/2024,SL-669187,Completed
CL-2462,24/05/2024,WJ-9411,Rejected
CL-30346,07/07/2024,HZ-15438,In Progress
CL-60286,20/04/2024,KY-857856,In Progress
CL-6062,10/03/2024,LV-1129,Completed
CL-90365,29/10/2024,FE-494385,Pending
CL-82721,13/05/2024,DH-28706,Completed
CL-2748,24/01/2024,LH-8430,Pending
CL-69734,05/06/2024,DO-3437,In Progress
CL-11793,30/08/2024,OJ-4346,Completed
CL-60234,05/07/2024,HH-3825,Pending
CL-43922,21/03/2024,AA-53494,Pending
CL-5171,03/01/2024,XL-731853,Pending
CL-30815,28/09/2024,AV-0188,Pending
CL-24662,09/04/2024,IM-7038,Rejected
CL-4366,27/05/2024,IF-221454,Rejected
CL-63988,20/03/2024,OG-59292,Pending
CL-99564,08/03/2024,OY-31687,Pending
CL-7335,16/04/2024,WW-9172,In Progress
CL-5446,18/05/2024,TQ-0228,Pending
CL-16376,27/06/2024,MR-98571,Pending
CL-71764,18/03/2024,II-15765,In Progress
CL-13979,30/10/2024,RO-47601,Completed
CL-9573,26/06/2024,GN-286836,Pending
CL-171,11/01/2024,EL-52264,Completed
CL-51852,18/03/2024,LM-93863,Pending
CL-7048,18/04/2024,LE-774134,Rejected
CL-65372,18/07/2024,LD-02618,Pending
CL-8318,07/04/2024,TG-9789,Pending
CL-74671,04/04/2024,FY-86479,Pending
CL-1489,05/02/2024,MD-14023,Rejected
CL-3622,15/09/2024,CZ-5883,Pending
CL-28321,08/10/2024,SL-47064,In Progress
CL-76318,01/09/2024,EL-1766,Completed
CL-56325,14/06/2024,HR-242881,Pending
CL-733,02/02/2024,AE-1094,Completed
CL-25083,14/08/2024,BS-95500,In Progress
CL-86529,27/04/2024,DE-72918,Rejected
CL-9435,09/10/2024,BG-216011,Pending
CL-95857,12/08/2024,AL-49685,Rejected
CL-68068,03/11/2024,OW-06656,Rejected
CL-4565,25/04/2024,VC-476318,Rejected
CL-751,11/11/2024,WK-76094,Pending
CL-3504,14/09/2024,DT-6678,In Progress
CL-60036,12/02/2024,PO-8009,In Progress
CL-41198,30/03/2024,AF-7705,Pending
CL-83769,18/03/2024,YO-367690,Completed
CL-98249,21/06/2024,MW-9488,Completed
CL-62127,07/08/2024,YJ-0350,Completed
CL-24082,29/10/2024,EK-7571,Completed
CL-8096,20/06/2024,QH-72896,Rejected
CL-49740,20/09/2024,IV-950070,Rejected
CL-39311,12/05/2024,NM-5478,In Progress
CL-9069,04/02/2024,VS-2580,In Progress
CL-4110,09/11/2024,RE-7843,In Progress
CL-72271,08/11/2024,UC-03662,Completed
CL-6322,05/01/2024,AO-1268,Completed
CL-4680,11/07/2024,EF-70153,Pending
CL-60223,05/04/2024,KF-215667,Rejected
CL-3546,09/03/2024,FZ-921879,Pending
CL-51071,18/05/2024,RE-6843,Completed
CL-9319,30/05/2024,RM-3501,Completed
CL-87559,04/09/2024,DC-473708,Pending
CL-11002,29/07/2024,ZR-8413,Completed
CL-5622,10/07/2024,KT-5312,Pending
CL-94321,25/01/2024,DU-2195,In Progress
CL-3900,25/04/2024,XL-72015,In Progress
CL-63679,03/02/2024,MH-657196,Completed
CL-57794,11/07/2024,TU-2307,Completed
CL-44836,22/08/2024,UV-3954,Completed
CL-7853,02/03/2024,AN-57142,Completed
CL-17983,11/08/2024,MJ-5076,Rejected
CL-9665,19/10/2024,TG-439697,Pending
CL-28041,08/09/2024,JS-073397,In Progress
CL-7691,30/03/2024,QQ-732911,Pending
CL-89941,13/08/2024,DX-8772,Completed
CL-2270,15/04/2024,JY-2996,Pending
CL-6526,13/01/2024,VJ-519653,In Progress
CL-8737,20/09/2024,LJ-68406,Pending
CL-42698,05/06/2024,CR-315277,Pending
CL-2742,15/05/2024,NN-66253,Rejected
CL-30932,21/08/2024,TH-93559,In Progress
CL-58782,21/03/2024,WB-342785,Rejected
CL-5369,17/06/2024,HQ-950816,Completed
CL-59882,10/02/2024,PJ-3215,Rejected
CL-5700,07/05/2024,AZ-228580,Completed
CL-9774,03/07/2024,AF-6443,Pending
CL-80425,23/01/2024,ZS-6448,Pending
CL-22780,10/08/2024,IG-750981,In Progress
CL-60515,25/05/2024,WH-07526,In Progress
CL-2263,24/04/2024,GJ-167022,In Progress
CL-64292,21/07/2024,IS-9005,Rejected
CL-6123,20/07/2024,DL-982681,In Progress
CL-8941,28/08/2024,JW-07535,Pending
CL-14373,04/06/2024,RA-2860,In Progress
CL-4672,04/05/2024,JY-43239,Pending
CL-32267,16/06/2024,YH-9632,Pending
CL-3662,10/09/2024,FJ-72955,Completed
CL-41700,08/02/2024,YO-161583,Completed
CL-9343,28/07/2024,PC-320374,Pending
CL-36087,23/03/2024,FA-368264,Pending
CL-89849,11/10/2024,TJ-174895,Completed
CL-36650,06/11/2024,CX-056720,In Progress
CL-99210,21/03/2024,ER-759299,In Progress
CL-328,07/04/2024,OB-8006,In Progress
CL-79013,19/05/2024,YJ-5779,Pending
CL-15602,21/04/2024,BH-326229,Completed
CL-59341,29/02/2024,SG-688499,Pending
CL-50937,15/04/2024,TA-02562,In Progress
CL-26012,18/05/2024,BZ-6800,In Progress
CL-48102,07/09/2024,CO-352695,Pending
CL-48875,01/09/2024,GT-9099,Pending
CL-30931,30/05/2024,NU-945004,Pending
CL-76064,08/02/2024,LW-96059,Rejected
CL-536,22/08/2024,YF-4207,Rejected
CL-7092,29/05/2024,OS-5221,Rejected
CL-11453,16/05/2024,BL-5772,Pending
CL-82554,27/09/2024,AX-7984,Pending
CL-74504,24/06/2024,EH-37253,Completed
CL-8052,12/10/2024,KI-6849,In Progress
CL-65688,02/01/2024,WB-2642,In Progress
CL-8050,06/04/2024,TU-21161,Pending
CL-13617,21/02/2024,YV-4485,Completed
CL-60360,10/05/2024,DU-611451,Rejected
CL-74829,28/09/2024,RT-23283,Rejected
CL-4968,10/07/2024,DP-933729,Rejected
CL-4554,01/02/2024,NJ-75651,Pending
CL-9132,03/07/2024,DG-9206,Pending
CL-2723,08/07/2024,UX-13349,Completed
CL-758,29/02/2024,WI-653220,Completed
CL-90600,13/03/2024,ZH-0613,Pending
CL-63118,25/05/2024,MR-87332,Rejected
CL-20219,17/10/2024,MU-99030,Completed
CL-29806,08/08/2024,NN-52561,In Progress
CL-39864,30/07/2024,TT-67591,Rejected
CL-4332,10/07/2024,OW-17802,Pending
CL-38293,10/05/2024,ZF-868975,In Progress
CL-8212,30/04/2024,RB-691542,In Progress
CL-5470,11/09/2024,TO-9956,Pending
CL-7642,30/08/2024,CD-75611,Rejected
CL-6586,25/05/2024,YG-0558,Pending
CL-63340,24/08/2024,NC-135594,Rejected
CL-88998,29/07/2024,MX-372501,Rejected
CL-34274,03/07/2024,WA-19599,Pending
CL-67286,30/03/2024,DS-26004,In Progress
CL-1026,02/06/2024,SK-688479,Rejected
CL-9473,28/05/2024,HE-0959,Rejected
CL-59213,22/01/2024,GN-489066,In Progress
CL-62433,01/03/2024,FO-4255,Pending
CL-44500,20/02/2024,FM-67628,Completed
CL-80096,30/07/2024,XG-9096,In Progress
CL-14638,06/11/2024,OG-2225,In Progress
CL-35462,03/04/2024,LY-8963,Pending
CL-18939,08/08/2024,MI-1661,Rejected
CL-87442,02/03/2024,FH-03137,Pending
CL-5660,16/07/2024,WX-4613,Completed
CL-88252,10/05/2024,TN-8534,Rejected
CL-78473,04/10/2024,VW-8584,Rejected
CL-229,20/10/2024,RD-4995,Completed
CL-53293,21/06/2024,IO-376278,Rejected
CL-3112,20/04/2024,UZ-30701,Pending
CL-1439,12/08/2024,UO-80929,Rejected
CL-56525,07/06/2024,HZ-6848,Completed
CL-77393,05/10/2024,ZH-56152,Completed
CL-48245,24/04/2024,UR-22057,In Progress
CL-13526,04/04/2024,BB-1756,Completed
CL-61387,31/10/2024,ZH-1664,In Progress
CL-48840,25/08/2024,CG-1266,Pending
CL-71778,29/05/2024,CN-4987,In Progress
CL-7707,09/01/2024,VX-37557,In Progress
CL-56611,11/06/2024,WY-3595,In Progress
CL-83161,27/06/2024,LD-464928,In Progress
CL-1808,05/04/2024,DD-692149,In Progress
CL-7442,20/08/2024,BJ-95086,In Progress
CL-45202,27/01/2024,QP-7733,Rejected
CL-73363,08/02/2024,VO-256746,Pending
CL-23817,14/07/2024,MQ-8366,Pending
CL-1047,17/02/2024,TP-52487,In Progress
CL-3054,14/03/2024,LQ-57616,In Progress
CL-88663,05/06/2024,JR-411757,Pending
CL-14113,05/10/2024,PR-2888,Pending
CL-9459,31/10/2024,HD-472213,In Progress
CL-30871,26/08/2024,ZQ-7660,Rejected
CL-9549,04/05/2024,VT-98164,Pending
CL-55308,22/03/2024,GC-41184,Pending
CL-21827,25/09/2024,NN-9777,Completed
CL-15369,18/10/2024,XK-31637,In Progress
CL-29003,21/07/2024,EJ-162617,Pending
CL-59250,25/01/2024,SH-28216,Pending
CL-58105,02/06/2024,FU-28113,Rejected
CL-2926,11/11/2024,KS-8440,Rejected
CL-30873,28/04/2024,UO-5918,Rejected
CL-95809,16/06/2024,UF-6031,Completed
CL-63080,23/09/2024,KU-09285,Rejected
CL-47819,10/04/2024,KW-54099,In Progress
CL-62270,16/04/2024,KJ-99548,Pending
CL-58480,15/02/2024,ZO-1532,Pending
CL-11753,09/11/2024,RC-6839,In Progress
CL-852,26/09/2024,SD-69833,Rejected
CL-4184,01/09/2024,NG-180335,Rejected
CL-88977,08/10/2024,TX-51454,In Progress
CL-42917,28/09/2024,HR-57291,Completed
CL-5313,12/04/2024,CS-8690,Pending
CL-2134,18/05/2024,BO-489073,In Progress
CL-69414,26/04/2024,CQ-9323,Pending
CL-8495,14/08/2024,LN-94450,In Progress
CL-7713,27/07/2024,UP-17700,Completed
CL-2519,18/05/2024,SZ-15651,Completed
CL-17920,09/06/2024,KK-54098,In Progress
CL-34154,05/06/2024,HI-475135,In Progress
CL-5336,26/03/2024,IG-82505,In Progress
CL-84141,26/08/2024,VN-34148,Rejected
CL-9937,28/07/2024,OQ-236401,Completed
CL-99938,12/04/2024,YT-79238,Completed
CL-12538,24/03/2024,MU-908064,Pending
CL-93037,06/04/2024,SL-600457,Pending
CL-46397,22/03/2024,QO-0505,Completed
CL-1141,06/04/2024,SN-82180,In Progress
CL-30274,31/07/2024,ZQ-94200,Completed
CL-9306,07/11/2024,ZA-7296,Pending
CL-7731,09/06/2024,GV-7654,Rejected
CL-39483,05/07/2024,QE-19806,In Progress
CL-41383,27/01/2024,HH-55764,In Progress
CL-28868,24/06/2024,IB-838841,Completed
CL-57971,20/01/2024,BQ-1028,Completed
CL-1507,10/11/2024,IU-547605,In Progress
CL-1959,05/07/2024,LO-0387,Rejected
CL-48935,23/01/2024,GL-887608,Rejected
CL-5189,26/01/2024,HX-6331,Pending
CL-241,26/06/2024,KK-031424,In Progress
CL-2468,31/05/2024,KL-1423,Rejected
CL-9696,22/06/2024,ZO-31723,Rejected
CL-30319,15/06/2024,BD-6686,Rejected
CL-81904,27/08/2024,TX-92052,In Progress
CL-1088,31/03/2024,ZW-996204,Pending
CL-73476,24/10/2024,ZR-52705,In Progress
CL-3345,03/04/2024,WJ-66257,Pending
CL-85478,11/07/2024,MI-073622,Pending
CL-38158,27/08/2024,WI-005296,Completed
CL-41609,03/09/2024,EM-3794,Pending
CL-94845,19/06/2024,MF-209118,Rejected
CL-1939,15/06/2024,OH-056792,In Progress
CL-78275,04/10/2024,IH-0859,In Progress
CL-73367,03/08/2024,XA-1502,In Progress
CL-57261,11/05/2024,QJ-876847,Rejected
CL-50271,03/08/2024,ET-825730,Pending
CL-70386,27/06/2024,NA-32983,Rejected
CL-9777,13/03/2024,TF-109631,In Progress
CL-37074,20/03/2024,TN-32379,Rejected
CL-47485,16/05/2024,GF-6748,Rejected
CL-5390,25/06/2024,NX-8620,Completed
CL-28629,14/03/2024,MY-9122,Rejected
CL-75095,05/11/2024,LN-747145,Rejected
CL-82766,20/08/2024,ZN-8954,Rejected
CL-7858,09/07/2024,KG-21900,Completed
CL-40500,04/03/2024,YM-5839,Pending
CL-97430,22/08/2024,GY-79603,Rejected
CL-90424,11/08/2024,LS-067052,Pending
CL-8508,10/06/2024,AE-03408,Completed
CL-9179,14/08/2024,XO-874494,Pending
CL-93054,19/08/2024,CJ-80713,Pending
CL-12665,18/01/2024,IA-7640,Completed
CL-7889,25/07/2024,EH-62314,In Progress
CL-76251,29/09/2024,ZS-7933,Completed
CL-75118,01/02/2024,RV-87662,Completed
CL-9281,15/08/2024,PN-0163,Rejected
CL-61225,11/01/2024,RJ-393024,Rejected
CL-8151,06/05/2024,GH-7772,Rejected
CL-48533,09/03/2024,OR-568198,In Progress
CL-45629,16/08/2024,PN-47980,Pending
CL-91048,30/10/2024,LS-721673,Completed
CL-47667,03/04/2024,ON-84272,Completed
CL-8465,08/05/2024,JV-36563,In Progress
CL-66782,19/01/2024,CV-2197,Rejected
CL-21850,28/09/2024,YM-71944,Pending
CL-3954,04/03/2024,HQ-261193,Pending
CL-35798,01/09/2024,HB-580594,In Progress
CL-71704,24/05/2024,QY-071903,Pending
CL-3792,09/07/2024,XJ-41859,Completed
CL-36110,31/08/2024,PL-7224,Completed
CL-99047,02/06/2024,HL-5974,Rejected
CL-82906,30/07/2024,OU-8303,Pending
CL-10648,07/03/2024,EY-49395,In Progress
CL-79287,21/08/2024,TZ-705905,Pending
CL-57136,27/02/2024,FO-5073,Rejected
CL-77135,23/07/2024,JI-778256,In Progress
CL-8144,17/05/2024,LB-90323,In Progress
CL-40182,03/05/2024,AO-1696,In Progress
CL-5827,17/08/2024,OK-1231,In Progress
CL-87220,25/02/2024,PT-6460,Pending
CL-61405,27/06/2024,TK-3715,Pending
CL-8073,02/06/2024,OR-5818,Rejected
CL-57991,13/01/2024,CE-6694,Completed
CL-96041,14/05/2024,LS-119555,Rejected
CL-3756,26/03/2024,ZF-708071,Rejected
CL-20532,12/07/2024,RM-34586,In Progress
CL-83280,01/04/2024,MV-8347,Pending
CL-10661,06/03/2024,GH-9689,Rejected
CL-5270,08/06/2024,JG-26708,In Progress
CL-71956,29/07/2024,HR-329541,Rejected
CL-9965,07/01/2024,XC-90260,Rejected
CL-13276,05/08/2024,KP-1421,Pending
CL-94772,26/06/2024,QN-301361,In Progress
CL-41299,31/05/2024,WB-5047,Completed
CL-14977,15/08/2024,FM-38840,In Progress
CL-69507,29/07/2024,DB-698114,Rejected
CL-7023,01/01/2024,HC-1981,Rejected
CL-7039,11/07/2024,XC-200689,Completed
CL-42768,21/07/2024,PJ-645789,Rejected
CL-81312,03/10/2024,PU-17315,Pending
CL-73980,18/04/2024,FF-367773,Pending
CL-26531,07/06/2024,UA-737500,Pending
CL-30643,15/07/2024,DI-416352,Rejected
CL-29518,31/08/2024,BD-484247,Completed
CL-75867,19/01/2024,NZ-2653,Rejected
CL-5549,13/04/2024,LM-933758,Completed
CL-69563,25/07/2024,KW-5592,In Progress
CL-40613,13/10/2024,RX-53313,Pending
CL-6386,04/05/2024,SI-0579,Rejected
CL-60052,14/02/2024,YG-2159,Completed
CL-27129,22/10/2024,LD-1717,Pending
CL-341,26/02/2024,VO-13711,Pending
CL-55053,29/05/2024,VF-49073,Completed
CL-83672,28/01/2024,XX-086035,Completed
CL-56133,11/03/2024,GJ-97125,Completed
CL-1242,01/09/2024,WS-4454,Pending
CL-55193,23/07/2024,AF-69776,In Progress
CL-64604,09/08/2024,SR-892587,Completed
CL-4256,29/10/2024,KA-629674,Completed
CL-58619,21/08/2024,OL-7879,Completed
CL-5581,22/09/2024,WC-03531,Completed
CL-22655,11/11/2024,NJ-5657,Completed
CL-4585,01/07/2024,AR-9005,Pending
CL-6271,02/01/2024,BK-5937,In Progress
CL-52847,05/02/2024,KP-4759,Pending
CL-84362,30/07/2024,DG-8639,Completed
CL-3011,18/01/2024,LM-96809,In Progress
CL-29760,31/01/2024,KD-73719,Rejected
CL-9956,08/09/2024,IU-054886,In Progress
CL-33538,04/04/2024,QH-8758,Rejected
CL-60900,04/10/2024,EX-53419,Pending
CL-99734,29/03/2024,KE-57599,In Progress
CL-22643,09/05/2024,ND-4901,In Progress
CL-6801,09/09/2024,JF-500736,In Progress
CL-3917,16/09/2024,SR-001761,Pending
CL-28417,05/07/2024,GP-113980,In Progress
CL-66147,25/09/2024,KD-5717,Pending
CL-76112,08/07/2024,XQ-5565,Pending
CL-73770,22/04/2024,ET-378335,Completed
CL-4186,19/09/2024,CY-7129,Rejected
CL-73066,28/07/2024,YL-655007,In Progress
CL-57896,27/04/2024,LX-0414,Completed
CL-9391,19/04/2024,AO-7393,Rejected
CL-4759,04/06/2024,LZ-039458,Pending
CL-6026,04/10/2024,MU-1615,Rejected
CL-4668,18/08/2024,MH-7113,Rejected
CL-88947,19/08/2024,PA-40733,In Progress
CL-15806,05/09/2024,TD-121707,Rejected
CL-3082,30/10/2024,OR-021809,Rejected
CL-68150,15/03/2024,TS-04719,Completed
CL-8277,21/01/2024,IA-425199,Rejected
CL-7012,24/09/2024,IK-6995,Rejected
CL-1467,31/05/2024,LV-614514,Rejected
CL-61767,05/05/2024,UY-1974,Pending
CL-1024,21/10/2024,JO-99226,In Progress
CL-93861,03/08/2024,OX-564605,In Progress
CL-22519,18/10/2024,BF-8481,Rejected
CL-21762,10/10/2024,NP-2711,In Progress
CL-42028,23/03/2024,AW-759427,Rejected
CL-12917,05/01/2024,KQ-47449,Completed
CL-43036,01/07/2024,ZX-58448,Rejected
CL-51819,23/01/2024,OG-16835,In Progress
CL-3001,24/02/2024,PU-50436,In Progress
CL-14448,15/03/2024,ZL-40832,Pending
CL-39618,03/09/2024,UO-75017,Completed
CL-54489,11/02/2024,KQ-6536,Pending
CL-992,22/01/2024,OQ-3450,Pending
CL-97829,16/02/2024,GS-086121,Pending
CL-3816,14/03/2024,AE-654963,Completed
CL-268,17/09/2024,BC-18389,Pending
CL-37267,09/06/2024,VH-77844,Pending
CL-10043,02/07/2024,KS-3817,In Progress
CL-6465,23/07/2024,ST-9869,Rejected
CL-9327,05/08/2024,NI-49771,Pending
CL-6566,11/06/2024,SV-8509,In Progress
CL-39647,21/04/2024,NN-218714,In Progress
CL-62762,25/10/2024,NA-6492,In Progress
CL-33011,01/01/2024,UY-66279,Completed
CL-2801,21/03/2024,RG-065496,Completed
CL-15335,02/09/2024,JQ-5888,Pending
CL-94074,07/11/2024,VX-41879,Rejected
CL-61839,25/03/2024,VF-334882,Completed
CL-744,19/06/2024,TN-7434,Pending
CL-63238,08/09/2024,QA-6783,Completed
CL-2012,11/08/2024,KS-7579,Completed
CL-80846,12/10/2024,QT-81188,Completed
CL-2066,06/06/2024,EX-28319,Completed
CL-63575,29/06/2024,NW-1405,Rejected
CL-98954,24/07/2024,YI-75615,Pending
CL-55480,10/07/2024,MK-55071,Completed
CL-3722,03/05/2024,GL-3856,Rejected
CL-9776,05/01/2024,WB-99569,Completed
CL-94242,06/04/2024,XM-57673,In Progress
CL-37583,20/05/2024,UH-06943,Rejected
CL-66753,30/07/2024,YG-949861,Pending
CL-75870,09/02/2024,UL-8382,Completed
CL-32700,19/10/2024,EX-785302,Pending
CL-22313,13/02/2024,XV-7635,Rejected
CL-77228,09/09/2024,GG-52930,Completed
CL-20260,02/09/2024,CP-821269,In Progress
CL-27504,29/02/2024,YY-33483,Pending
CL-21355,03/01/2024,CG-869201,Completed
CL-91060,31/07/2024,EH-682599,Rejected
CL-22540,04/05/2024,JV-65169,Completed
CL-84104,13/08/2024,NT-45461,In Progress
CL-96592,11/09/2024,NE-355146,Rejected
CL-12190,07/10/2024,LZ-967958,In Progress
CL-31898,27/08/2024,MP-490257,Completed
CL-198,11/04/2024,XF-710947,In Progress
CL-17552,17/08/2024,MK-75152,In Progress
CL-8566,20/09/2024,BZ-64384,Rejected
CL-10044,03/10/2024,WS-3168,In Progress
CL-4226,06/10/2024,CF-3948,Pending
CL-96505,16/06/2024,OC-8960,Rejected
CL-56863,15/03/2024,NR-3504,In Progress
CL-42641,04/05/2024,OK-9775,Rejected
CL-34909,24/03/2024,JM-8511,Completed
CL-3858,09/03/2024,WP-00316,Completed
CL-3201,03/01/2024,GG-7127,Rejected
CL-3280,27/01/2024,BE-403979,Completed
CL-92443,06/08/2024,NJ-0285,Completed
CL-48890,09/10/2024,FN-61024,Completed
CL-4629,02/03/2024,MR-653904,Rejected
CL-76688,02/07/2024,NE-4957,Rejected
CL-9558,02/11/2024,NA-368218,In Progress
CL-10768,29/02/2024,JP-645075,Pending
CL-8900,04/04/2024,BN-68186,Pending
CL-31258,17/07/2024,FU-6640,Completed
CL-91385,07/06/2024,AV-183125,Rejected
CL-38697,21/08/2024,SI-141980,In Progress
CL-21327,14/06/2024,CY-348891,Rejected
CL-70804,15/02/2024,KF-65236,Pending
CL-49413,28/05/2024,HX-765288,In Progress
CL-82946,24/09/2024,VT-265635,Pending
CL-69552,09/02/2024,NN-741495,Pending
CL-6711,01/02/2024,SB-542075,Rejected
CL-49353,17/08/2024,TR-88770,Pending
CL-34170,26/10/2024,ON-45462,Rejected
CL-83484,07/03/2024,RI-6098,Rejected
CL-25025,13/07/2024,FE-453384,Pending
CL-7652,20/09/2024,HB-743216,Completed
CL-77563,20/05/2024,NH-2543,In Progress
CL-46896,26/06/2024,KP-509435,In Progress
CL-6626,02/02/2024,JP-96480,Rejected
CL-99590,31/08/2024,ON-95890,Rejected
CL-2046,13/09/2024,HL-216787,Pending
CL-51738,03/09/2024,NX-2350,In Progress
CL-8832,05/03/2024,CC-50044,Rejected
CL-7523,01/09/2024,XT-811263,Rejected
CL-55509,25/01/2024,SP-97326,Pending
CL-9865,16/08/2024,ZH-131922,Completed
CL-28582,10/10/2024,SC-4629,Pending
CL-5373,16/04/2024,IB-6039,Pending
CL-40499,13/10/2024,PP-80564,Completed
CL-93789,14/02/2024,LJ-59327,Pending
CL-3948,22/04/2024,ES-20622,Pending
CL-92558,19/09/2024,FG-1111,Rejected
CL-4578,13/04/2024,TU-26922,Completed
CL-3804,17/02/2024,WS-109971,Completed
CL-6729,22/01/2024,PY-654038,Pending
CL-38603,14/04/2024,BL-83110,Rejected
CL-87540,11/09/2024,KQ-0550,Pending
CL-81653,14/05/2024,XS-620712,Pending
CL-2647,06/04/2024,JA-10313,Pending
CL-6814,07/11/2024,GZ-689882,Rejected
CL-5817,09/09/2024,JA-406237,Pending
CL-177,16/09/2024,OO-6982,Pending
CL-829,08/10/2024,MS-422431,Completed
CL-863,06/08/2024,NB-7437,Rejected
CL-9232,19/07/2024,PV-366266,Completed
CL-46984,04/07/2024,SU-586736,Pending
CL-90523,23/09/2024,BH-490308,In Progress
CL-68246,09/04/2024,PF-35660,Pending
CL-31688,17/03/2024,TB-928014,Pending
CL-12910,06/08/2024,FN-962310,In Progress
CL-52230,23/05/2024,JY-2306,Pending
CL-6150,22/02/2024,EX-76112,Rejected
CL-9910,18/01/2024,PS-952583,Pending
CL-2929,18/04/2024,ER-838516,In Progress
CL-72907,19/06/2024,DX-337808,In Progress
CL-20990,09/03/2024,JB-777212,Rejected
CL-67224,21/05/2024,QM-2620,In Progress
CL-64779,21/01/2024,TQ-436996,Pending
CL-51079,15/10/2024,MF-4380,Completed
CL-12346,18/01/2024,OT-861554,Rejected
CL-56990,08/08/2024,CW-48796,Rejected
CL-49137,06/01/2024,KP-347756,In Progress
CL-53213,13/06/2024,OS-86451,Pending
CL-247,18/10/2024,PC-5944,In Progress
CL-6820,13/09/2024,KI-864131,Completed
CL-58856,14/05/2024,MX-1416,Pending
CL-65525,22/08/2024,KK-296268,In Progress
CL-95794,02/05/2024,DC-70148,Pending
CL-70663,26/06/2024,ML-177193,Pending
CL-56546,20/05/2024,OE-3027,Pending
CL-9983,15/04/2024,YY-564772,Rejected
CL-25480,06/05/2024,NY-188853,Completed
CL-1036,11/02/2024,XA-68144,Rejected
CL-42711,29/03/2024,FA-2935,In Progress
CL-83094,16/04/2024,CE-22686,Completed
CL-14942,01/07/2024,YM-896644,In Progress
CL-59607,02/10/2024,JF-747995,Completed
CL-29149,19/03/2024,OA-358225,Pending
CL-11834,06/09/2024,LE-022510,Pending
CL-23207,03/10/2024,EI-56928,Rejected
CL-62070,22/06/2024,KC-46015,In Progress
CL-98291,27/06/2024,AH-71386,Completed
CL-28975,11/08/2024,CK-87158,In Progress
CL-36146,20/02/2024,LR-95231,Pending
CL-54985,13/07/2024,ED-35263,Rejected
CL-62419,12/03/2024,JB-0482,Rejected
CL-63883,10/05/2024,EN-5362,Completed
CL-38679,05/05/2024,LB-578762,Rejected
CL-43948,02/06/2024,LY-97986,Pending
CL-38766,22/01/2024,PI-7092,Rejected
CL-80793,02/07/2024,ZW-22930,Completed
CL-17274,19/01/2024,MH-6739,In Progress
CL-2808,24/10/2024,EP-183751,In Progress
CL-47748,29/06/2024,WZ-184621,In Progress
CL-84759,18/04/2024,ZV-10685,Rejected
CL-23924,04/10/2024,HJ-081936,Completed
CL-91286,06/09/2024,PB-36853,Pending
CL-98679,14/06/2024,JW-62281,Completed
CL-30387,07/04/2024,HX-87306,Rejected
CL-54387,15/01/2024,RS-319088,Completed
CL-65388,12/02/2024,BX-9015,In Progress
CL-4839,20/02/2024,GY-451590,Rejected
CL-96437,05/05/2024,HA-62217,Completed
CL-94464,10/07/2024,PR-0571,Pending
CL-59913,13/09/2024,SS-5339,Rejected
CL-71799,02/04/2024,ZG-4373,Pending
CL-58433,23/05/2024,AX-261427,Completed
CL-9640,10/05/2024,JE-157159,Rejected
CL-12209,27/06/2024,KM-073327,Pending
CL-28355,17/08/2024,TQ-21301,Completed
CL-94957,04/08/2024,DR-13233,Rejected
CL-3797,24/07/2024,LY-6445,Completed
CL-51901,07/07/2024,FX-6911,Completed
CL-17212,07/10/2024,BV-635176,Rejected
CL-52862,19/04/2024,BH-965711,Completed
CL-34567,21/04/2024,TH-31230,In Progress
CL-38905,22/02/2024,TI-64682,Pending
CL-3315,27/06/2024,FT-1907,Pending
CL-52356,15/01/2024,AL-01585,Rejected
CL-33085,27/10/2024,MB-229307,Completed
CL-44646,03/07/2024,SS-101183,Pending
CL-97782,01/05/2024,NQ-73756,Completed
CL-88976,28/10/2024,AB-2836,Completed
CL-4394,14/03/2024,TB-46820,Completed
CL-50351,24/08/2024,KS-850355,Completed
CL-71006,12/02/2024,WB-449625,In Progress
CL-1512,14/01/2024,IU-652190,In Progress
CL-787,29/03/2024,AD-72565,Rejected
CL-90445,17/03/2024,EN-1342,Pending
CL-4566,21/07/2024,UW-087193,Rejected
CL-77723,28/09/2024,RI-044567,Pending
CL-21121,20/08/2024,HI-3206,In Progress
CL-507,28/08/2024,YV-52888,Rejected
CL-66297,06/06/2024,IT-9430,Pending
CL-46240,06/08/2024,HP-897717,Rejected
CL-13725,18/05/2024,MQ-1713,Rejected
CL-7501,22/04/2024,XC-107715,In Progress
CL-81947,23/09/2024,GQ-84438,Completed
